GO:0065007	P	0.79	biological regulation
GO:0044699	P	0.78	single-organism process
GO:0050794	P	0.77	regulation of cellular process
GO:0009987	P	0.64	cellular process
GO:0032502	P	0.63	developmental process
GO:0048856	P	0.62	anatomical structure development
GO:0044767	P	0.62	single-organism developmental process
GO:0032501	P	0.60	multicellular organismal process
GO:0044260	P	0.59	cellular macromolecule metabolic process
GO:0044238	P	0.59	primary metabolic process
GO:0044707	P	0.58	single-multicellular organism process
GO:0043412	P	0.58	macromolecule modification
GO:0048522	P	0.55	positive regulation of cellular process
GO:0051240	P	0.54	positive regulation of multicellular organismal process
GO:0051130	P	0.54	positive regulation of cellular component organization
GO:0044763	P	0.54	single-organism cellular process
GO:0044267	P	0.54	cellular protein metabolic process
GO:0019222	P	0.54	regulation of metabolic process
GO:0031323	P	0.53	regulation of cellular metabolic process
GO:0010468	P	0.53	regulation of gene expression
GO:0006464	P	0.53	cellular protein modification process
GO:2000112	P	0.51	regulation of cellular macromolecule biosynthetic process
GO:0080090	P	0.51	regulation of primary metabolic process
GO:0051171	P	0.51	regulation of nitrogen compound metabolic process
GO:0044702	P	0.47	single organism reproductive process
GO:0006357	P	0.47	regulation of transcription from RNA polymerase II promoter
GO:0048869	P	0.46	cellular developmental process
GO:0048646	P	0.46	anatomical structure formation involved in morphogenesis
GO:0048513	P	0.46	animal organ development
GO:0043933	P	0.46	macromolecular complex subunit organization
GO:0009888	P	0.46	tissue development
GO:0009887	P	0.46	organ morphogenesis
GO:0007165	P	0.46	signal transduction
GO:0022412	P	0.45	cellular process involved in reproduction in multicellular organism
GO:0090254	P	0.44	cell elongation involved in imaginal disc-derived wing morphogenesis
GO:0061327	P	0.44	anterior Malpighian tubule development
GO:0060799	P	0.44	transforming growth factor beta receptor signaling pathway involved in endodermal cell fate specification
GO:0048636	P	0.44	positive regulation of muscle organ development
GO:0048100	P	0.44	wing disc anterior/posterior pattern formation
GO:0046845	P	0.44	branched duct epithelial cell fate determination, open tracheal system
GO:0045887	P	0.44	positive regulation of synaptic growth at neuromuscular junction
GO:0045705	P	0.44	negative regulation of salivary gland boundary specification
GO:0045595	P	0.44	regulation of cell differentiation
GO:0045570	P	0.44	regulation of imaginal disc growth
GO:0042078	P	0.44	germ-line stem cell division
GO:0035215	P	0.44	genital disc development
GO:0030721	P	0.44	spectrosome organization
GO:0030718	P	0.44	germ-line stem cell population maintenance
GO:0030707	P	0.44	ovarian follicle cell development
GO:0030509	P	0.44	BMP signaling pathway
GO:0022407	P	0.44	regulation of cell-cell adhesion
GO:0010629	P	0.44	negative regulation of gene expression
GO:0009953	P	0.44	dorsal/ventral pattern formation
GO:0008354	P	0.44	germ cell migration
GO:0008101	P	0.44	decapentaplegic signaling pathway
GO:0007507	P	0.44	heart development
GO:0007488	P	0.44	histoblast morphogenesis
GO:0007476	P	0.44	imaginal disc-derived wing morphogenesis
GO:0007424	P	0.44	open tracheal system development
GO:0007391	P	0.44	dorsal closure
GO:0007304	P	0.44	chorion-containing eggshell formation
GO:0007274	P	0.44	neuromuscular synaptic transmission
GO:0007181	P	0.44	transforming growth factor beta receptor complex assembly
GO:0006468	P	0.44	protein phosphorylation
GO:0001763	P	0.44	morphogenesis of a branching structure
GO:0001745	P	0.44	compound eye morphogenesis
GO:0051704	P	0.40	multi-organism process
GO:0050896	P	0.22	response to stimulus
GO:0009611	P	0.20	response to wounding
GO:0007275	P	0.20	multicellular organism development
GO:0050804	P	0.17	modulation of synaptic transmission
GO:0065008	P	0.16	regulation of biological quality
GO:0071702	P	0.15	organic substance transport
GO:0042592	P	0.13	homeostatic process
GO:0034641	P	0.13	cellular nitrogen compound metabolic process
GO:0051345	P	0.12	positive regulation of hydrolase activity
GO:0015031	P	0.12	protein transport
